run,type,module,name,attrname,attrvalue,value
General-31-20191214-18:23:51-11140,runattr,,,configname,General,
General-31-20191214-18:23:51-11140,runattr,,,datetime,20191214-18:23:51,
General-31-20191214-18:23:51-11140,runattr,,,experiment,General,
General-31-20191214-18:23:51-11140,runattr,,,inifile,lhv.ini,
General-31-20191214-18:23:51-11140,runattr,,,iterationvars,,
General-31-20191214-18:23:51-11140,runattr,,,iterationvarsf,,
General-31-20191214-18:23:51-11140,runattr,,,measurement,,
General-31-20191214-18:23:51-11140,runattr,,,network,RSUExampleScenario,
General-31-20191214-18:23:51-11140,runattr,,,processid,11140,
General-31-20191214-18:23:51-11140,runattr,,,repetition,31,
General-31-20191214-18:23:51-11140,runattr,,,replication,#31,
General-31-20191214-18:23:51-11140,runattr,,,resultdir,results,
General-31-20191214-18:23:51-11140,runattr,,,runnumber,31,
General-31-20191214-18:23:51-11140,runattr,,,seedset,31,
General-31-20191214-18:23:51-11140,param,,,*.playgroundSizeX,5100m,
General-31-20191214-18:23:51-11140,param,,,*.playgroundSizeY,50m,
General-31-20191214-18:23:51-11140,param,,,*.playgroundSizeZ,50m,
General-31-20191214-18:23:51-11140,param,,,*.annotations.draw,true,
General-31-20191214-18:23:51-11140,param,,,*.manager.updateInterval,1s,
General-31-20191214-18:23:51-11140,param,,,*.manager.host,"""localhost""",
General-31-20191214-18:23:51-11140,param,,,*.manager.port,9999,
General-31-20191214-18:23:51-11140,param,,,*.manager.autoShutdown,true,
General-31-20191214-18:23:51-11140,param,,,*.manager.launchConfig,"xmldoc(""erlangen.launchd.xml"")",
General-31-20191214-18:23:51-11140,param,,,*.rsu[0].mobility.x,0,
General-31-20191214-18:23:51-11140,param,,,*.rsu[0].mobility.y,0,
General-31-20191214-18:23:51-11140,param,,,*.rsu[0].mobility.z,3,
General-31-20191214-18:23:51-11140,param,,,*.rsu[*].applType,"""TraCIDemoRSU11p""",
General-31-20191214-18:23:51-11140,param,,,*.rsu[*].appl.headerLength,80 bit,
General-31-20191214-18:23:51-11140,param,,,*.rsu[*].appl.sendBeacons,false,
General-31-20191214-18:23:51-11140,param,,,*.rsu[*].appl.dataOnSch,false,
General-31-20191214-18:23:51-11140,param,,,*.rsu[*].appl.beaconInterval,1s,
