OMNeT++ Discrete Event Simulation  (C) 1992-2019 Andras Varga, OpenSim Ltd.
Version: 5.5.1, build: 190613-08ba16f914, edition: Academic Public License -- NOT FOR COMMERCIAL USE
See the license for distribution terms and warranty disclaimer

Setting up Cmdenv...

Loading NED files from ../../src/veins:  42
Loading NED files from /home/veins/workspace.omnetpp/lair/examples/lair:  1

Assigned runID=General-0-20191214-17:06:23-11140
Setting up network "RSUExampleScenario"...
Initializing...

Running simulation...
Distância do 93:  3.25972
Distância do 147:  7.5048
Distância do 171:  7.49723
Distância do 141:  7.58772
Distância do 45:  8.72977
Distância do 189:  14.7327
Distância do 123:  14.9983
Distância do 51:  22.4993
Distância do 105:  29.5568
Distância do 81:  30.0003
Distância do 75:  37.0226
Distância do 165:  22.1147
Distância do 111:  37.5013
Distância do 117:  44.5004
Distância do 99:  45.0024
Distância do 57:  51.9848
Distância do 183:  52.5034
Distância do 177:  59.4734
Distância do 291:  66.9649
Distância do 63:  67.5054
Distância do 279:  74.4582
Distância do 135:  60.0044
Distância do 237:  75.0065
Distância do 315:  81.953
Distância do 273:  82.5076
Distância do 255:  90.0086
Distância do 339:  96.9455
Distância do 333:  97.5096
Distância do 219:  89.4488
Distância do 261:  104.443
Distância do 267:  105.011
Distância do 285:  111.94
Distância do 321:  112.512
Distância do 297:  119.439
Distância do 351:  120.013
Distância do 87:  126.937
Distância do 249:  127.514
Distância do 225:  134.436
Distância do 201:  135.015
Distância do 357:  141.935
Distância do 159:  142.516
Distância do 363:  149.434
Distância do 27:  150.017
Distância do 327:  157.518
Distância do 393:  156.934
Distância do 411:  164.433
Distância do 303:  165.019
Distância do 483:  171.933
Distância do 207:  172.52
Distância do 465:  179.433
Distância do 195:  180.021
Distância do 387:  186.933
Distância do 405:  187.522
Distância do 435:  194.433
Distância do 309:  202.524
Distância do 519:  216.933
Distância do 231:  201.933
Distância do 345:  210.025
Distância do 471:  195.023
Distância do 501:  209.433
Distância do 417:  217.526
Distância do 531:  225.027
Distância do 507:  224.433
Distância do 549:  231.934
Distância do 555:  232.528
Distância do 585:  239.434
Distância do 591:  240.029
Distância do 639:  246.934
Distância do 657:  247.53
Distância do 645:  254.435
Distância do 153:  255.031
Distância do 399:  261.935
Distância do 513:  269.436
Distância do 243:  270.033
Distância do 537:  276.936
Distância do 213:  262.532
Distância do 381:  277.534
Distância do 579:  284.437
Distância do 369:  285.035
Distância do 681:  291.937
Distância do 459:  292.536
Distância do 723:  299.438
Distância do 489:  300.037
Distância do 663:  306.939
Distância do 495:  307.538
Distância do 717:  314.439
Distância do 375:  315.039
Distância do 765:  321.94
Distância do 423:  322.54
Distância do 609:  329.441
Distância do 429:  330.042
Distância do 453:  337.543
Distância do 627:  336.941
Distância do 567:  344.442
Distância do 447:  345.044
Distância do 735:  351.943
Distância do 597:  352.545
Distância do 753:  359.443
Distância do 669:  360.046
Distância do 693:  366.944
Distância do 687:  367.547
Distância do 771:  382.549
Distância do 741:  381.946
Distância do 621:  375.048
Distância do 705:  390.05
Distância do 651:  389.446
Distância do 543:  374.445
Distância do 711:  396.947
Distância do 525:  397.551
Distância do 729:  404.448
